Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
140,tt2249007,2018-01-22,2018-01-25,"Here is a great series Neo-Noir. At first you will go okay a show about this guy who has this job but as the series goes on you beginning to see what it is really. Nice move from ShowTime. Ray Donavan is a fixer for the stars and rap stars in Hollywood. Basically he protects them don?t matter what that is why he is paid to do. But he also protect his family especially from his father. His wife Abby and their kids know what Ray does for a living. Ray?s siblings however are not in good shape you have Bunchy was molested by a priest when he was a child, and went into an addiction of drugs and alcohol plus depression. Terry  took too many blows to the head as a boxer, and the resulting neurological damage. And a bastard half-brother Daryl, and ex-con self-centred menace of a father Mickey. But Ray gets the news that his father is getting out of prison after being incarcerated for 20 years.
It funny at times moves along well so far. Liev Schrieber. is a perfect Ray Donovan. There is pain in his past and he never forgot it. Ray is on a slow burner because there will be stress from his father who has come back and want to get to know his grandchildren. Steven Bauer as Avi, Ray?s hired muscle/friend is great but I wondered where was he all this years. I almost didn?t recognize him. Ray?s assistant Lena, a great role for Katherine Moennig she is embracing it big time, he fit her like a glove. James Woods shows up as ?Sully?, a Boston mobster with Donovan family history/connections and is now FBI?s most wanted. A lot of fun moment, tension nice acting and fun to watch.",Ray Donovan,https://www.imdb.com/title/tt2249007/,tvSeries,8.3,60,2013,"Crime, Drama",67588,2013-06-18,
141,tt2294189,2018-01-22,2018-01-25,"Here is a British series for you. I took a look and said to myself here it is this is the one. The Fall establishes a frightening, grimy and compellingly realistic scenario right from the beginning; after 2 women was found raped and murdered in their apartment, their bodies left in  posed tableaux, the Belfast police department reaches out to the  London-based Detective Superintendent Stella Gibson (Anderson) to help them out, to see of the murders are connected. Her supervisor on the cases, police captain Jim Burns (John Lynch), thinks that the most recent killing is possible that is related to the ex-fiancée. Gibson concludes that both murders were by the hands of the same person , and that the entire department needs to act quickly to prevent another tragedy from occurring.
What I like about this you see the murderer doing his thing and his everyday life. Than you see the detective at work and doing their thing. It is more realistic this way instead of closing the case in an hour show. You actually see how they investigate and the clues that lead to the killer. it is the cat and mouse game. The writer has done a nice job here. It has some unexpected turns here and there. Stella is a tough emotionless detective and has to deal with the rough tough detectives and personnel she is assigned too. There is a sensuous and cold side of Stella as you see in the second episode where she hooked up with one of the detective. Then there is Danielle Ferrington (played by Niamh McGrady), a tough officer who reveals that she?s gay. It is a fresh series not like the American series as I called them the Hollywood machine that are a bit unrealistic and solve the murder in an hour. Thank god for a refreshing look at it. It is as suspenseful as it should be but i might want to say that the cinematography is grippy but beautifully well film as well.",The Fall,https://www.imdb.com/title/tt2294189/,tvSeries,8.2,60,2013,"Crime, Drama, Thriller",63263,2013-05-12,
142,tt0212671,2018-01-22,2018-01-25,"Here is a great series about this gifted teenager who is in this family who is in dysfunctional family but some how they love and care for each other. Not like those dysfunctional families who don?t even give a dam about each other. Brother Reese who always picks on his brother. Dewey, until recently youngest, has a fantasy life and thinks he has grown with each season. Francis, the oldest, is the irresponsible one, a true rebel. He is obsessed with his mother and a mess because of it. He was exiled to military school until he takes  to Alaska. Hal is the sensitive one and not too bright for a father. This show has talented actors who have great chemistry. It is wild at times with over the top gags. Malcolm some how fits on all this. It is narrated by him after all he is the centre of the show. He struggle to fit in on the top of that he is coping with puberty. There is some clichés there and there but overall this show is hilarious and fun to watch. After all we love to watch those dysfunctional families.",Malcolm in the Middle,https://www.imdb.com/title/tt0212671/,tvSeries,8.0,22,2000,"Comedy, Family",107596,2000-01-09,
143,tt1973692,2018-01-22,2018-01-25,"This a Danish series and it is pretty good so far as far as season one. A teacher who was rebellious when she was younger, now teaches at school. She has 3 kids, is a single mom. She lives almost next to the school she teaches. You know when you are in not your typical U.S series is when you see a beautiful Danish woman in her 40?s smoking in the bathroom of the school. She reads the graffiti on the wall and sees one that caught her attention and need correcting it reads ?Rita was fucking the principal? she corrects it, Rita is fucking the principal. She gets out because the bells as rung and goes to class. She is a single mother with 3 kids and they are dysfunctional family. She wear tight jeans a shirt and a shirt over it. She is trying to keep it together and has her way of teaching.  It has funny moment and moves along just fine. Her son who is gay and won?t admit it to himself and everybody knows that he is gay. Her daughter is self-conscious because her boyfriends has broken up with her because she had no ass. and her older son is getting married at 22 years old who has a nice family. Well this is it you are going to have to watch this series.",Rita,https://www.imdb.com/title/tt1973692/,tvSeries,8.1,40,2012,"Comedy, Drama",5171,2012-02-09,
144,tt1196946,2018-01-22,2018-01-25,"A famous psychic who knows is a fake start working as a consultant for the FBI In California so he can find the killer ?Red John? a man who killed his wife and kids .
A mentalist is a master manipulator of thought and behaviour he is Patrick Jane (Simon Baker). There is a lot of mystery murders those days when one network has a good series the rest will follow. This one is different from the other because there is this famous psychic who is a consultant for the FBI so he can find Red John. He watches human behaviour every little details of it. that is the power of observation. He can read body language very well. Jane as also a bit of a dark side. You see you got Jane trying to out smart Red John and solve the murder of the week. Baker does an outstanding job to play Jane. Baker said in an interview that he chosen the car that his character drives a Citrõen DS because the first time that he put a foot in Paris that is the first car that he saw, and he so loves this car. My aunt?s husband had two of them. He also loved the car, he used to drive me down in Nice (down the south of France) and we used to go to the beach with it. Nice car with hydraulic suspension very comfortable. get this there is 65 million in France and 55 million viewer tunes up to the Mentalist. By the way 2015 is the last season. That?s what he said in an interview In France. Great little series, give it a try you will have fun.",The Mentalist,https://www.imdb.com/title/tt1196946/,tvSeries,8.1,43,2008,"Crime, Drama, Mystery, Thriller",150461,2008-09-23,
145,tt1586680,2018-01-22,2018-01-25,"Here is a father who is an alcoholic and doing a great job of staying that way has 6 kids who lives in this run-down house. The oldest who is his daughter keeps the family running full force, she became the head of the house and takes care of her brothers and sisters. While her father keeps going to bar and drinks all day.
Okay it is not an original show it has been copied from the UK, but Showtime took it a notch further. So you got Lip (Jeremy Allen White), the oldest son in the Gallagher family, is a genius he is fine with the living arrangement, comfortable in hiss own skin and reads people very well. Fiona (Emmy Rossum), the eldest daughter, who has to choose between her own happiness or taking care of her family since their mother ran out on them several years ago, and you have the rest of the gang who is not better off either. It is amazing what there are able to pull off by paying the bill and having food on the table and yes they are a dysfunctional family; but it seems that they still enjoy life despite of it all. Macy does a superb job here I bet when he got the scrip for this he said ti himself ?I am going to play a drunk who drinks all day? where do I sign ? The Cast is so perfect it is not even funny. Just the first episode you will have drugs use , sex in the kitchen, the neighbours have weird sex, the family trying to scrap money for the electric bills. Fiona dating maybe some dude that she just meet at the club and the father that comes home drunk and that my friends is just for starters, and it you are not addicted after the first show then the creators as well as the writers has not done their jobs then. Have fun.",Shameless,https://www.imdb.com/title/tt1586680/,tvSeries,8.7,46,2011,"Comedy, Drama",166249,2011-01-09,
146,tt2446726,2018-01-22,2018-01-25,"Southcliffe Is a fictional little town in England it tells the story in a nonlinear narrative structure. A series of shooting has occur by Stephen Morton (Sean Harris) the cause of these shootings and the effects on the town and residents. It is retold by the view of the journalist and the residents.
If you seen The Slap the Australian mini-series it uses the same nonlinear narrative structure to tell the story and the different view of the people who was at the party. Here the British series has copied it and did a shooting incident. Nothing wrong with that. It is one of England best mini-series of the years 2013. The actors performances are outstanding here. It start with young men coming back from Iraq. They are welcome back by the town. Some of them have a pass for 38 days some are staying. It is a big party and they get to see their love one once again. It is well told and you will see different point of view of the story seen by different people. It is grippy, bold and scary because it could happen anywhere. It has already happen in the world anyway. The body pile up and the police are tracking down the shooter. the series explores tragedy, grief, responsibility and redemption. Some of you might not like the last episode some of you will. It is a bit controversial to me. The series has a silver feel it and it is in England so you see the sad raining weather throughout the series. It is brutal at time and some of the comment of the people will make you think of react and say ?what a dick.? See it for yourself.",Southcliffe,https://www.imdb.com/title/tt2446726/,tvMiniSeries,7.0,188,2013,"Drama, Thriller",2452,2013-08-04,
147,tt0411008,2018-01-22,2018-01-25,"Oceanic Air flight 814, en-route from Sydney to Los Angeles, loses its way and is brutally torn in half in the sky, crash-landing the surviving passengers on a mysterious island that may or may not have a monster running loose. We quickly learn that the survivor has secrets and little by little they are revealed. But they are not along on the island.
This is so good you get not stop watching and you can?t wait until next week for an other episodes. for a while there that is all the people at the office was talking about. It is the smartest show that came out back then and addictive as hell. The first season moves along fine we get some flashback from time to time. This series was outstanding intelligently well written, Rich complex characters with secrets, Great performances, Mysterious setting on an Island somewhere with maybe a monster on the loose. Each episodes got better and better more mysterious than the other. There is a cliff-hanger in every episodes even at the end f the season. That is all I am going to say without revealing too much just in case some of you didn?t see it yet.",Lost,https://www.imdb.com/title/tt0411008/,tvSeries,8.4,44,2004,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",449763,2004-09-22,
148,tt1094229,2018-01-22,2018-01-25,"The series is based on the Heartland book series by Lauren Brooke. The TV series changes the setting from Virginia, USA (in the original novels) to the Alberta Rockies in Alberta, Canada; Heartland is about sisters Amy and Lou Fleming and their grandfather Jack Bartlett through the upside down of life on a horse ranch in cattle country.  Amy and Lou?s mother was killed in a car accident, they continue to keep their mother?s dream alive by healing abused and neglected horses through their family business. Amy (Amber Marshall) faces struggles but she gets through it. It is the struggle of the everyday life on the ranch and the bank who are closing in on the property.
I must say if you want some family drama you got one there and let me tell you I got hooked on the first episode. A terrific well written, acted, the cinematography is beautiful as well as the horses. I do not know the US did do it in the series after all it is a series of books from an American writer. Oh well like this I get to see Canada where I want to reside some day how it is beautiful and fresh. You see Amy inherited her mother?s gift of being able to intuit the needs of horses and of practicing natural horsemanship. She has inherited the gift of her mother. Lou has been living in New York she is Amy?s sister she comes back for the funeral. Now the mother has hired a helping hand around the ranch to help her grandfather. Ty is name, he has room and board at the ranch. Ty becomes best friends with Amy. The bank wants their money of course nothing new there but the mother let the bills run out the horses were more important. Lou tries to convince the bank to reconsider and gives a business plan to one of the bankers who went to high school together. It is a constant battle with the bank and trying to get business running to make a profit. Plus the bank wants him to sell. Why? Well you have going to have to watch the series. Yes it is really good and you won?t get bored.",Heartland,https://www.imdb.com/title/tt1094229/,tvSeries,8.4,45,2007,"Drama, Family",7144,2007-10-14,
149,tt1676462,2018-01-22,2018-01-25,"The story begins with the soldiers? return home after 17 years of negotiations for their freedom. Nimrod Klein and Uri Zach return alive, along with the remains of Amiel Ben-Horin.It is the  reintegration of Nimrod and Uri into a society which has made them national icons, and into an interrupted family life, while working through the trauma of being held captive and tortured. They must deal with partners who waited or moved on, children who have grown up without them, and parents who have died. They also have to undergo psychiatric evaluations and military debriefings. When a military psychiatrist finds discrepancies in their stories, an investigation is launched to discover what they are hiding.
Think about it It is not easy to go back to the life that you were accustom to. Plus the fact that you have not seen your kids and wife for 17 years. How would you react? Great acting from all the actor in there. There is flashback from time to time so you can see what they went through. The show begin with flashback when they were around in their 20?s then move forward to now when they get of the plane and see their family the first time in 17 years. Nimrod (Yoram Toledano) runs head on back into everyday life, he wants to begin looking for a job, tries to making love to his wife,  having parties, essentially trying to ignore and bury his troubles from the past seventeen years as a captive deep down like it never happened. He realize that his wife has gotten older, looking at her physique, his daughter has sex with older man around 50 years old, and his son well he does not know they avoid each other. He noticed that the Israel that he knew has changed. His mother has passed away, his father?s health is not so good. At first it is kind of slow but that is done purposely the writers are smart to know to set it the beginning of the story perfectly well. Psychologist Haim Cohen ( Gal Zaid) find out that there more than meets the eye here, he is not conceived about their stories. The first season is moving just fine and so is the second season. There were rumors that a third season was going to happen but so far not yet. It is the best series and the most successful series in Israel. Worth a look. ",Hatufim,https://www.imdb.com/title/tt1676462/,tvSeries,8.4,50,2009,"Drama, Mystery, Thriller",1678,2009-12-31,
150,tt1442449,2018-01-22,2018-01-25,"Here is a cast change because of the unfortunate death of Andy Whitfield who died of cancer. It is the continuation of Spartacus who goes into Rome and tries to free all the slaves. It is bloody as hell and violent but like I said that is the way it was back then. The series continues the bloody path of Spartacus. The episodes are well paced. The first season is especially good , Spartacus builds up a series of secrets, alliances, betrayals and ambitions that all come together at key moments in the series. There is plenty of gladiators who has this muscular bodies fighting which later are compensated by food, alcohol and sex. The story around Spartacus is the tragic early death of star Andy Whitfield, who was diagnosed with cancer during the first season. Since he couldn?t film a second season due to treatment, creator Stephen S. Knight went back to the story telling to give us Spartacus: Gods of the Arena, a prequel to the events of the first season and that was fine. But the death of the actor had to have a change of casting. A lot of people thought that this was going to be the end of the series. The second and third season never quite hit the same highs as the first season but it still stands out. This was the only way to go. We know already what happens to Spartacus anyway so they had to keep going but they were not sure if the audiences would accept the  cast change. Luckily it worked, and they were back in business. Great series there.",Spartacus: Blood and Sand,https://www.imdb.com/title/tt1442449/,tvSeries,8.5,55,2010,"Action, Adventure, Biography, Drama, History, Romance",202445,2010-01-22,
151,tt1758429,2018-01-22,2018-01-25,"This was the story of Spartacus a little before he became the god of the arena. Unfortunately the series stopped here because Andy Whitfield tragically found himself battling cancer and died and the producers had to reset the casting process. When Andy was batting cancer the producers decided to do the prequel of the family the Batiatus/Lucretia storyline. Than went on to make Spartacus: Blood and sand with a fairly new Casting. It is bloody with nudity and violent as hell well that the way it was back then. People were slave and taken by a family with a bunch of fighters and force to fight in the arena against an other family?s fighters to the death. The thing that I don?t like is too many slow-motion shot they should be a few than back to normal. Other than that it is fine the writing is great so is the action. Lucy Lawless, Craig Parker, and John Hannah is perfect casting there. Andy Whitfield is brilliant as Spartacus and he stand out with a fine performance. The fighting scene are superb no doubt. The story line is fluid and moves along just fine like you would expect no boring scenes there. See back then there were bisexual men and women as well as heterosexuals sex was done where ever even people were watching that is what it was back then. It was a wild party at best and the wine was flowing with good food. Yeah! I know it was a little bit barbaric then but that is was it was. Over all great series.",Spartacus: Gods of the Arena,https://www.imdb.com/title/tt1758429/,tvMiniSeries,8.5,55,2011,"Action, Adventure, Biography, Drama, History, Romance",113249,2011-01-21,
152,tt3032476,2018-01-22,2018-01-25,"Ho! Ho! better call Maaco, well if you need a transmission or body repair on your car but if you need a lawyer a little shady Better call Saul. Yes sir this is the long-awaited spin-off series from Breaking Bad. You don?t have to see breaking bad to see this series it is the prequel of Breaking Bad. Where Saul has started to be a lawyer fresh out of college well he is a public defender working for the state. Bob Odenkirk reprise his role in Breaking bad but in the much earlier life. Like I said when it got started. The writing is there, even the cinematography is a bit unusual but great to see that someone has a bit creative at it. It is the same cinematography in Breaking Bad. I am glad they kept the same people in it. Some of the characters in breaking bad will surface and you will see them doing something else like I said it is a prequel of Breaking Bad. It is a hit I just saw the first two episodes I am waiting for the third on Monday. The music is very organic and someone has chosen some great tune here, especially the first episode. I don?t want to give anymore away than this, but this series delivers the goods thank god and I hope they are going to keep it up. Well I know they will.",Better Call Saul,https://www.imdb.com/title/tt3032476/,tvSeries,8.7,46,2015,"Crime, Drama",241395,2015-02-08,
153,tt0106145,2018-01-22,2018-01-25," Deep Space Nine exists as a space station in orbit around the world of Bajo. Commander Benjamin Sisko (Avery Brooks) receives the assignment as its new chief. It is a major station where there is shipping and trading going on at all time. Plus a bunch alien different species are at each other throat to top it all off there are a bunch of thief trying to get a piece of the pie as well. Not an easy job for the commander Sisko. 
Here is a cool series that I love, when I first saw it I thought they have something here and it lasted 7 years. DS9 will explore everything from religion, war, death, slavery, genetic engineering, homosexuality (first homosexual on a sci-fi series), geniuses, heroes, rebels, politics, commerce, racism, multiple personalities, memories, continuity, resurrection, time, peace, love, parenthood, marriage between different species), espionage, mass murders, prison, biological warfare, terrorism to name a few. Plus the characters were the most colourful you have ever seen. The DS9 station was the most busy station ever plus everybody in the name of the sun. The series was moving just fine every time it was a new adventure coming along in the corner. it is a refreshing series because it is not in a spaceship but on a space station that why I love this one a different take on it. Intelligently written and well casted. If I can find a good deal on DVD it is mine.",Star Trek: Deep Space Nine,https://www.imdb.com/title/tt0106145/,tvSeries,7.9,45,1993,"Action, Adventure, Drama, Sci-Fi",43816,1993-01-03,
154,tt2071645,2018-01-22,2018-01-25,"Ten years ago, FBI agent Ryan Hardy (Kevin Bacon) took down serial killer Joe Carroll, a Poe scholar responsible for the  murders of fourteen young women in a gruesomely romantic way. The takedown was not without a price, though, as Hardy is now an alcoholic stuck with a pacemaker  in his chest thanks to Carroll. Hardy, however, has to put that aside when Carroll orchestrates his escape from prison and Hardy is called in to consult with the FBI. What at first seems like a relatively pedestrian breakout is soon revealed to be a bunch of followers that Carroll has recruited and brainwashed  on the internet. Though Hardy and his FBI companions are intent on stopping Carroll, and find out that Carroll has develop a cult.
Here it is you have Hannibal and the Following who has psychologist heroes with devilishly charming serial-killing antiheroes. The Following has manipulated the story differently. Carroll has a wife and kid and he is trying to keep him safe. But he has a beef Hardy I do not want to give too much away here. Carroll has planed his escape well it took years to plan. It was not done overnight, he even has access to internet and had a bunch of blog to attract a bunch of followers who will obey at the drop of the hat. Even people visited him signing in different names and it is just the tip of the iceberg. There is some great performances here. The series creates tension thought the story and you can cut it with a knife. The series moves along at the pace you want and that is a good thing you do not want to bore the audience. Great series here give it a try you might like it.",The Following,https://www.imdb.com/title/tt2071645/,tvSeries,7.5,43,2013,"Crime, Drama, Mystery, Thriller",80276,2013-01-21,
155,tt0455275,2018-01-22,2018-01-25,"A conspiracy theory arises and an innocent man is sent to jail. He did not commit the crime. Only his brother has this mission to get his brother out of jail well not with a lawyer and going to court, but breaking him out in order to do that he has to be put in jail himself.
Here is another jail series sort of speak a terrific one. Just the first season is as fast paced as it gets. A guy named Michael ( Wentworth Miller) with tattoo all over his body gets out of a Chicago bank. He goes to court and don?t even plead his case. However, it?s all going as plan: Michael?s brother, Lincoln (Dominic Purcell) has been thrown into the same prison Michael?s headed to for killing the Vice President?s brother, and Lincoln will be put to death in a month. Michael has the blueprint of the building tattooed on his body, once he finds out that it is not easy even with blueprint to find his way out he his going to have to relate on some inmates to hep him out whom some of them can or can?t be trusted. The prison used in the series is a real prison (Joliet Correctional Facility, which was abandoned) which feels claustrophobic . You will discover the characters one by one and the story line will move at the pace it needs too. There are twists and turns that will keep you occupied. Dominic Purcell has a strong lead and a great performance as well as the rest of the cast. It will leave you wanting more.",Prison Break,https://www.imdb.com/title/tt0455275/,tvSeries,8.4,44,2005,"Action, Crime, Drama, Mystery, Thriller",424215,2005-08-29,
156,tt2433738,2018-01-22,2018-01-25,"Bea Smith has attempted to kill her abusive husband which landed her in jail. once in jail she has to learn the rope of survival after all it is a different  world in Prison.
Here is a great series more brutal than orange is the new black with a bit of realism into it. It is an Australian series and a prequel of  Prisoner Cell Block H way back in the 80?s but this one is fast pace and a lot juicier. Bea gets of the bus to go to her cell block when a prisoner ask one of the guard if he wanted the usual, he drop off his pants and she sucked him off. She gets to her cell block, find out that there is a kid there her mom is still on drugs supplied by on of the rehabilitation officer , Franky Doyle ( Nicole da Silva) who runs her cell block wants to take down her competition. to top it all off the prison warden gets murdered during a riot and that is the tip of the iceberg on the first season. Be a who tried to kill her husband because she has been abused by him countless time ends up in jail for attempted murder. Once she gets there it is a terrifying world and not an easy one to adjust. One inmate is showing her the rope while her kid is on Bea?s mind at all the time. She has guilt issues and didn?t want to leave her behind god knows what her husband is feeding her for information. It is pure and simple grippy drama well written and acted beside being addictive. The show has the name of a real prison; Wentworth Gaol, a former Australian prison that operated between 1881 and 1928, is located in Wentworth, New South Wales and is now a tourist attraction.",Wentworth,https://www.imdb.com/title/tt2433738/,tvSeries,8.7,45,2013,"Crime, Drama",13869,2013-05-01,
157,tt0066701,2018-01-22,2018-01-25,"English Lord Brett Sinclair and American Danny Wilde are both wealthy playboys, they are teamed together by Judge Fullton to investigate crimes which the police can?t solve. These two men are complete opposites, but become great friends through their adventures and constantly risk their own lives for one another.
I remember seeing this one in the rerun back in the mid 80?s it was awesome I loved it the chemistry between the 2 is amazing short of greatness. I think I watched the all series maybe I missed a couple episode. This was really good but not too many people like that one. It became a classic show. Unfortunately It lasted one year.",The Persuaders!,https://www.imdb.com/title/tt0066701/,tvSeries,8.1,60,1971,"Action, Adventure, Comedy",4119,1971-09-17,
158,tt0320038,2018-01-22,2018-01-25,"?John Doe? is called thus because nobody knows the name of the man who literally fell from the sky, naked, in the sea near an obscure island. When Cambodian fishermen save him, it soon becomes clear his memory is gone he does not know his name or where he comes from and has more factual knowledge stored in his brain. He is a walking encyclopaedia and is also colour-blind he sees in black and white. The Two police detectives who are  trying to help him are frustrated by finding his own story a little bit disturbing. It was a great series but din?t get the rating that it suppose to do so it got ditched. It is like rewriting the story of the Bourne Identity. Jason Bourne in the movie quickly realizes he is a spy, and his knowledge is limited to the essential spy skills, whereas John Doe isn?t a spy (that we know of yet), and his knowledge is limitless. The show is packed with intrigue and leaves things as they are until John see a little girl in colour. It takes you on the ride and you will love every moment. I am pretty sure you should find this one on Netflix.",John Doe,https://www.imdb.com/title/tt0320038/,tvSeries,7.9,60,2002,"Drama, Mystery, Sci-Fi",7279,2002-09-20,
159,tt0303461,2018-01-22,2018-01-25,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy. They get jobs legal or illegal to survive.
Here was a great series that lasted one season only. Whedon figure out let?s do a sci-fi series space cowboy  basically like a sci-fi western. well so far so good. The crew includes Zoe (Gina Torres), Mal?s second-in-command; her husband, Wash (Alan Tudyk), who?s also the pilot; Kaylee (Jewel Staite), the fresh- scrubbed ship?s engineer; and Jayne (Adam Baldwin), the dumb muscle. On board are the beautiful Inara (Morena Baccarin), who?s a prostitute finally the profession is legal and highly regarded. And there?s Book (Ron Glass), a religious man spreading the gospel planet to planet. Let?s not forget the doctor, Simon (Sean Maher), and his crazy-genius sister, River (Summer Glau), who escaped the clutches of the Alliance and may have been part of a secret experiment of theirs. So far you have a genius series. I think Weldon loved star wars and western so he figures why not combine the two together. Of course the language is silly but good. Brilliant series from Wheldon. I am going to get that in my collection soon.",Firefly,https://www.imdb.com/title/tt0303461/,tvSeries,9.0,44,2002,"Adventure, Drama, Sci-Fi",222628,2002-09-20,
160,tt1714204,2018-01-22,2018-01-25,"Eric McCormack) as Professor Daniel Pierce and Rachel Leigh Cook as gritty FBI agent Kate Moretti. A schizophrenic professor helps a not so by the books FBI agent. This looks like the Series Monk and Numbers but a little different which is fine. Here Pierce has a mental illness and has to have a student to be his assistant in order to function. Dr. Daniel Pierce (McCormack) is a schizophrenic neuroscience professor fresh off a stint in a psychiatric hospital. His mental break down forces him to take a teaching job at the University. When former student Kate Moretti (Cook) shows up and ask him for his help in a case that she can?t solve. McCormack here is back with an other series with a solid performance. Rachel Leigh Cook not only has chemistry with McCormack but holds her own and done an outstanding job here. Pierce has this mental illness and sometimes does not know if the person he is talking too is real or not. Of course, like any show there is the inevitable sexual tension between Daniel and Kate no surprise for me there. He has feeling for her but there is an 16 or so years gap between them, it is not creepy at all but in a sweet way because there is an innocence about him. It is a great series it will keep you wanting more each time.",Perception,https://www.imdb.com/title/tt1714204/,tvSeries,7.5,42,2012,"Crime, Drama, Mystery, Thriller",17620,2012-07-09,
161,tt0312172,2018-01-22,2018-01-25,"Adrian Monk (Shalhoub) suffers from an acute case of obsessive/compulsive disorder along with a plethora of other various phobia. This cause him to behave strangely and has no social skill. But also prove remarkably useful in discovering evidence and solving crimes. Monk, is a private investigator, used to be a homicide detective with the San Francisco PD, but lost his badge for reasons not fully explained. Still, Captain Leland Stottlemeyer (Ted Levine) and Lieutenant Randy Disher who hates to admit it but need Monk to help them to solve cases. Also Monk lost his Wife Trudy was killed under suspicious circumstances over seven years ago, He never fully recover from it.
The charm of this show is Monk and the other goofy character sort of speak. Capt. Stottlemeyer is a no-nonsense cop, but with a surprisingly warm and human side, he has a  documentary filmmaker wife.  Ted Levine has the most cool voice I?ve ever heard on television. Monk on the other hand has an assistant , Sharona Fleming (Bitty Schram) who has to have wipes handy so if he touches something he wipes his hand with a wipe that is one of his phobia he is afraid of germs. the two of them has a love/hate relationship in a comic sense. Jason Gray-Stanford is a typical young, gung-ho cop, he gets at it both feet in. They have an old-fashion take on the television mystery story like kind of like Columbo. The cases are a little on the weird side but it works well here. This turn to be one of my favourite show. Of course there is plenty of guest star that will show up from time to time.",Monk,https://www.imdb.com/title/tt0312172/,tvSeries,8.0,47,2002,"Comedy, Crime, Drama, Mystery",58353,2002-07-12,
162,tt0904208,2018-01-22,2018-01-25,"Hank Moody (David Duchovny) was a famous writer wrote a successful book that run into a movie, than suddenly nothing for years. He lost his love of his life, they broke up of which he has a 13 years old daughter going on 30. He has this let?s say little problem he is a self-loathing, drug , boozing , cigarette smoking, womanizing somewhat loser bad boy image that he can?t shake off well it is addictive to top it all off he wants to get back with his ex. His agent wants him to write an other book, and his daughter wants him to grow up, yeah! that is going to happen.
Here is a series that single out the woman. It is targeted for men of course. It bust with cliché but who cares it is fun to watch. Here is somehow a ?à something man who somehow went off the deep end went into a boozing screwing women and doing a line of coke on a hooker?s ass Hank is having fun and does not care too much about anything else. It is well written and so well acted, the casting is perfect this series could not be better. David Duchovny and Natascha McElhone give the Hank/Karen relationship some sense of love complete with flirtation, frustration, yelling at each other and unwilling attraction. Also there is moody as a father who lacks of emotional stability. He is trying to get his ex girlfriend back but keeps enmeshing it up. This series in not for kids by the way obviously. The show is raw and shocking, while still being moving and engaging and it is not for everybody, but it is a good time. they did take risks on this one even the actors it is not easy to be in bed with an actress and you are going to do this and that , they really pushed the envelope to the limit. It all came to an end but you can get it on DVD and watch over again.",Californication,https://www.imdb.com/title/tt0904208/,tvSeries,8.3,28,2007,"Comedy, Drama",162255,2007-08-13,
163,tt1837642,2018-01-22,2018-01-25,"An emotional young woman is making her mission to take revenge on the people who has done wrong to her father. It reasonable at the count of Monte Cristo. Vengeance looks like through the eyes of a scorned individual fuelled by resolve, devious, and endless resources. The thing that I don?t like about this series is that it has a soap opera angle, but other than that it is addictive big time. You are wondering what is she going to do next. The one fueled by vengeance is Emily Thorne (Emily VanCamp) also known as Amanda Clarke, the daughter of a man convicted of terrorist acts that he didn?t commit. Her father wrote a journal in jail and Emily learn about the plot set in motion by the Grayson family, a powerful Hampton family, to frame him for the activities that would?ve destroyed their empire. It isn?t the only thing she received a fortune, tons of money that her father left her. The first step she takes is to rent the house right next door to the Graysons? beach-front property for the summer, a home where she spent her childhood. Her target Victoria Grayson (Madeleine Stowe), the woman who ultimately turned on her father, and does she plays well this cold-hearted bitch. Well I am not going to tell you more than that but the cinematography in this one is awesome. And yes it is going to be a hell of a summer at the Hampton. Emily as this devious plan to get her revenge and she will stop at nothing , what ever it takes. By the way it is well written and suspenseful series.",Revenge,https://www.imdb.com/title/tt1837642/,tvSeries,7.9,44,2011,"Drama, Mystery, Thriller",106659,2011-09-21,
164,tt2094262,2018-01-22,2018-01-25,"This so they say is the untold story of Leonardo Da Vinci: the genius during his early years in Renaissance Florence. As a 25-year old artist, inventor, swordsman, lover, dreamer and idealist, who smoked opium because he sometimes hear voices he even sees the future and start inventing things.
No too bad for a series but let me say it is not the true story of Da Vinci (Tom Riley). It is not accurate but it is fun to watch anyway. The setting and the costumes are beautiful. It is a fantasy series like I said fantasy being the key word, the real Da Vinci is obviously the inspiration. It was accurate you would be bored with it so they had to make it entertaining. The father of Da Vinci does not like him very much he has conservative belief and think that is son is wasting his life doing what he is doing. The brilliance of Da Vinci?s Demon is the way of the  conflict of Rome and Florence manages to get itself into the journey of Leonardo to find his true place in the world, The overlay animation are quite good in this series. The interpretation of Leonardo could easily be compared to a more of version of Robert Downey Jr?s work as Sherlock Holmes. Tom Riley as Leonardo has done a fine job here. Some people will get addicted to this one. Overall it is a stand up series and it works at being entertaining.",Da Vinci's Demons,https://www.imdb.com/title/tt2094262/,tvSeries,8.0,59,2013,"Adventure, Biography, Drama, Fantasy, History, Mystery, Romance",69275,2013-04-12,
